System.out.println("📂 Reading CSV: " + csvFile);

q_id,category,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,year,difficulty
1,Quantitative,Sample Quantitative question 1?,Option A1,Option B1,Option C1,Option D1,B,Explanation for Quantitative question 1,2021,Medium
2,Logical,Sample Logical question 2?,Option A2,Option B2,Option C2,Option D2,C,Explanation for Logical question 2,2022,Easy
3,Technical,Sample Technical question 3?,Option A3,Option B3,Option C3,Option D3,D,Explanation for Technical question 3,2023,Medium
4,Verbal,Sample Verbal question 4?,Option A4,Option B4,Option C4,Option D4,A,Explanation for Verbal question 4,2024,Easy
5,Quantitative,Sample Quantitative question 5?,Option A5,Option B5,Option C5,Option D5,B,Explanation for Quantitative question 5,2020,Medium
6,Logical,Sample Logical question 6?,Option A6,Option B6,Option C6,Option D6,C,Explanation for Logical question 6,2021,Easy
7,Technical,Sample Technical question 7?,Option A7,Option B7,Option C7,Option D7,D,Explanation for Technical question 7,2022,Medium
8,Verbal,Sample Verbal question 8?,Option A8,Option B8,Option C8,Option D8,A,Explanation for Verbal question 8,2023,Easy
9,Quantitative,Sample Quantitative question 9?,Option A9,Option B9,Option C9,Option D9,B,Explanation for Quantitative question 9,2024,Medium
10,Logical,Sample Logical question 10?,Option A10,Option B10,Option C10,Option D10,C,Explanation for Logical question 10,2020,Easy
11,Technical,Sample Technical question 11?,Option A11,Option B11,Option C11,Option D11,D,Explanation for Technical question 11,2021,Medium
12,Verbal,Sample Verbal question 12?,Option A12,Option B12,Option C12,Option D12,A,Explanation for Verbal question 12,2022,Easy
13,Quantitative,Sample Quantitative question 13?,Option A13,Option B13,Option C13,Option D13,B,Explanation for Quantitative question 13,2023,Medium
14,Logical,Sample Logical question 14?,Option A14,Option B14,Option C14,Option D14,C,Explanation for Logical question 14,2024,Easy
15,Technical,Sample Technical question 15?,Option A15,Option B15,Option C15,Option D15,D,Explanation for Technical question 15,2020,Medium
16,Verbal,Sample Verbal question 16?,Option A16,Option B16,Option C16,Option D16,A,Explanation for Verbal question 16,2021,Easy
17,Quantitative,Sample Quantitative question 17?,Option A17,Option B17,Option C17,Option D17,B,Explanation for Quantitative question 17,2022,Medium
18,Logical,Sample Logical question 18?,Option A18,Option B18,Option C18,Option D18,C,Explanation for Logical question 18,2023,Easy
19,Technical,Sample Technical question 19?,Option A19,Option B19,Option C19,Option D19,D,Explanation for Technical question 19,2024,Medium
20,Verbal,Sample Verbal question 20?,Option A20,Option B20,Option C20,Option D20,A,Explanation for Verbal question 20,2020,Easy
21,Quantitative,Sample Quantitative question 21?,Option A21,Option B21,Option C21,Option D21,B,Explanation for Quantitative question 21,2021,Medium
22,Logical,Sample Logical question 22?,Option A22,Option B22,Option C22,Option D22,C,Explanation for Logical question 22,2022,Easy
23,Technical,Sample Technical question 23?,Option A23,Option B23,Option C23,Option D23,D,Explanation for Technical question 23,2023,Medium
24,Verbal,Sample Verbal question 24?,Option A24,Option B24,Option C24,Option D24,A,Explanation for Verbal question 24,2024,Easy
25,Quantitative,Sample Quantitative question 25?,Option A25,Option B25,Option C25,Option D25,B,Explanation for Quantitative question 25,2020,Medium
26,Logical,Sample Logical question 26?,Option A26,Option B26,Option C26,Option D26,C,Explanation for Logical question 26,2021,Easy
27,Technical,Sample Technical question 27?,Option A27,Option B27,Option C27,Option D27,D,Explanation for Technical question 27,2022,Medium
28,Verbal,Sample Verbal question 28?,Option A28,Option B28,Option C28,Option D28,A,Explanation for Verbal question 28,2023,Easy
29,Quantitative,Sample Quantitative question 29?,Option A29,Option B29,Option C29,Option D29,B,Explanation for Quantitative question 29,2024,Medium
30,Logical,Sample Logical question 30?,Option A30,Option B30,Option C30,Option D30,C,Explanation for Logical question 30,2020,Easy
31,Technical,Sample Technical question 31?,Option A31,Option B31,Option C31,Option D31,D,Explanation for Technical question 31,2021,Medium
32,Verbal,Sample Verbal question 32?,Option A32,Option B32,Option C32,Option D32,A,Explanation for Verbal question 32,2022,Easy
